"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2021","1,787.34","1,828.66","1,830.60","1,781.98","","-2.13%"
"08/29/2021","1,826.19","1,817.55","1,834.55","1,801.47","","0.52%"
"08/22/2021","1,816.67","1,780.55","1,819.38","1,776.03","","2.01%"
"08/15/2021","1,780.87","1,778.44","1,795.77","1,770.38","","0.10%"
"08/08/2021","1,779.15","1,763.34","1,780.53","1,684.77","","0.93%"
"08/01/2021","1,762.69","1,814.34","1,832.10","1,758.33","","-2.81%"
"07/25/2021","1,813.58","1,802.65","1,833.05","1,792.60","","0.68%"
"07/18/2021","1,801.34","1,811.65","1,825.27","1,790.45","","-0.53%"
"07/11/2021","1,810.89","1,807.94","1,833.99","1,791.21","","0.16%"
"07/04/2021","1,807.98","1,787.69","1,818.70","1,784.09","","1.19%"
"06/27/2021","1,786.79","1,781.24","1,795.40","1,750.11","","0.36%"
"06/20/2021","1,780.34","1,764.44","1,795.18","1,764.44","","0.96%"
"06/13/2021","1,763.34","1,874.59","1,878.21","1,761.04","","-6.04%"
"06/06/2021","1,876.64","1,888.49","1,903.95","1,869.84","","-0.71%"
"05/30/2021","1,889.97","1,903.69","1,916.84","1,856.09","","-0.67%"
"05/23/2021","1,902.64","1,882.34","1,913.15","1,872.73","","1.19%"
"05/16/2021","1,880.30","1,843.84","1,890.18","1,841.24","","2.07%"
"05/09/2021","1,842.19","1,833.24","1,845.58","1,808.78","","0.64%"
"05/02/2021","1,830.48","1,768.49","1,843.45","1,765.91","","3.50%"
"04/25/2021","1,768.59","1,776.34","1,790.43","1,756.19","","-0.48%"
"04/18/2021","1,777.18","1,779.50","1,798.29","1,763.18","","0.05%"
"04/11/2021","1,776.31","1,743.80","1,784.07","1,723.27","","1.91%"
"04/04/2021","1,743.10","1,728.74","1,759.13","1,721.22","","0.82%"
"03/28/2021","1,728.84","1,732.15","1,733.40","1,677.93","","-0.18%"
"03/21/2021","1,731.97","1,745.74","1,747.18","1,721.23","","-0.73%"
"03/14/2021","1,744.74","1,727.74","1,755.59","1,719.05","","1.06%"
"03/07/2021","1,726.41","1,702.80","1,739.99","1,676.70","","1.50%"
"02/28/2021","1,700.86","1,733.40","1,760.02","1,687.12","","-1.88%"
