iteration,timestamp,accuracy,samples,w_VPRWG,w_ZBEYU,w_GKORG,w_JCDYM,w_LUXEM,w_EEWPQ,w_PIIRP,w_YHIYY,w_MXSBY,w_ASXLP,w_YFVMV,w_FCHGZ,w_RQUMP,w_ISFDE,w_YPAXY,w_LUNIH,w_LIFLX,w_HKJPS,w_WDLPA,w_ZORRY,w_HMUGW,w_ZVAPL,w_ALMVK,w_BRHWF,w_BZLYI,w_IEDWO,w_XWBVZ,w_ZJOIV,w_FLPVV
66,2026-01-09T21:08:32.498244,0.46956521739130436,574,4.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,3.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,4.0,8.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,3.0,6.0
67,2026-01-09T21:08:40.110516,0.5217391304347826,574,3.0,4.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,7.0,5.0,8.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,6.0
68,2026-01-09T21:08:46.337882,0.46956521739130436,574,4.0,3.0,5.0,6.0,6.0,6.0,6.0,5.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,8.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,6.0
69,2026-01-09T21:08:52.450879,0.5391304347826087,574,4.0,4.0,5.0,6.0,5.0,6.0,6.0,7.0,2.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,8.0,5.0,6.0,6.0,5.0,4.0,6.0,5.0,3.0,6.0
70,2026-01-09T21:08:58.589377,0.5739130434782609,574,4.0,4.0,5.0,6.0,5.0,5.0,7.0,6.0,3.0,4.0,5.0,6.0,4.0,6.0,4.0,6.0,6.0,7.0,6.0,8.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,3.0,6.0
71,2026-01-09T21:09:04.714174,0.48695652173913045,574,5.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,6.0,5.0,6.0,4.0,6.0,5.0,7.0,4.0,9.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0
72,2026-01-09T21:09:10.850524,0.5130434782608696,574,4.0,4.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,9.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,6.0
73,2026-01-09T21:09:16.994184,0.5565217391304348,574,3.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,3.0,4.0,4.0,6.0,6.0,5.0,6.0,5.0,4.0,7.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,3.0,5.0
74,2026-01-09T21:09:23.126774,0.4956521739130435,574,3.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,7.0,5.0,8.0,5.0,6.0,6.0,5.0,4.0,7.0,5.0,3.0,6.0
75,2026-01-09T21:09:29.489631,0.5565217391304348,574,3.0,5.0,5.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,8.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0,6.0
